Tenure Months,Total Charges,Churn Value,Churn Score,CLTV,Geo Cluster,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_Yes,Online Backup_Yes,Device Protection_Yes,Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Contract_encoded
5,4056,1,96,4677,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1
6,435,1,53,4003,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1
2,1234,1,84,2599,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1
20,432,1,51,4156,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1
10,1488,1,84,3014,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1
12,1214,1,84,4194,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1
19,1086,1,62,5738,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1
14,4546,1,98,3938,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0
18,1971,1,76,3412,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0
2,1378,1,91,5716,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0
9,2443,1,79,3421,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0
19,3248,1,90,3104,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0
14,3815,1,95,3071,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1
16,2027,1,90,4263,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
15,3808,1,69,5452,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0
10,667,1,78,5091,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1
14,1206,1,98,3422,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1
4,2493,1,51,3629,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1
1,2745,1,83,5662,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1
4,2038,1,83,4609,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0
13,3215,1,54,2774,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0
3,2307,1,63,3063,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0
20,1314,1,99,4154,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2,4301,1,61,2906,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1
17,2417,1,56,5991,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
6,3401,1,58,4479,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
7,481,1,92,4539,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0
2,3228,1,54,3429,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
12,1140,1,95,5100,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1
9,607,1,98,2638,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0
11,1419,1,62,3625,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1
15,4985,1,52,3986,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1
2,2621,1,80,3576,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1
1,1060,1,68,4087,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0
19,2497,1,62,4344,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1
5,201,1,97,4592,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1
8,3360,1,88,2403,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0
3,3671,1,69,4259,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1
4,548,1,89,2607,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
13,2935,1,93,2250,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0
2,2874,1,99,3082,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1
19,3887,1,98,2897,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1
6,4588,1,61,5691,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1
3,2411,1,98,5185,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
11,4193,1,83,2975,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1
10,2232,1,55,4840,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
14,4717,1,93,5868,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1
7,1312,1,60,2805,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1
4,2524,1,90,2203,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0
8,2527,1,59,4170,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1
16,1354,1,60,4416,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
13,2865,1,58,4643,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0
10,4477,1,99,2276,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0
4,2064,1,50,4147,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1
16,4685,1,79,5758,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
7,3736,1,53,2403,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1
9,2974,1,53,5017,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0
5,1368,1,77,4534,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
7,3853,1,91,4170,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1
18,4479,1,84,5246,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0
7,877,1,79,2477,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1
16,214,1,59,4126,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
1,481,1,96,2584,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0
19,2786,1,76,4494,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1
2,3650,1,85,3982,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1
2,3018,1,85,5529,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
9,1499,1,97,2398,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1
8,1392,1,70,5098,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1
1,1287,1,92,2594,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0
8,3363,1,56,3475,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
8,1063,1,88,2741,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1
16,2696,1,72,4253,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0
6,2091,1,82,5419,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1
16,4514,1,93,4600,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0
9,1195,1,100,4655,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1
17,785,1,82,3713,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
14,2444,1,88,2550,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0
1,1242,1,56,4783,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0
10,4274,1,58,4675,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1
14,3557,1,83,3196,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0
16,3986,1,51,5923,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1
9,980,1,93,4030,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
7,3832,1,85,3161,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1
15,509,1,63,4199,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0
17,1427,1,88,5740,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
14,1523,1,71,4491,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0
7,988,1,60,3660,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1
12,632,1,99,3022,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1
8,4573,1,79,3706,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0
10,2442,1,81,5411,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0
10,746,1,62,5560,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1
4,3115,1,93,3928,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1
20,1382,1,60,5912,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0
8,2118,1,80,5375,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
10,4504,1,83,3859,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1
7,305,1,84,2587,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1
13,3063,1,69,2805,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
13,789,1,69,3387,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1
14,1828,1,79,3628,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
13,4580,1,42,4923,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
17,208,1,46,3541,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1
10,1931,1,63,5781,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1
6,1402,1,85,5734,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0
13,1566,1,78,5748,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
8,2532,1,63,5009,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0
8,598,1,51,4675,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0
20,970,1,71,4999,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
4,4466,1,55,5774,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
18,2557,1,77,4462,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1
8,535,1,48,5053,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1
8,583,1,61,5353,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
19,778,1,61,5091,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1
19,3632,1,66,2634,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0
9,2182,1,74,5660,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1
14,1702,1,50,2279,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
18,1885,1,79,3850,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0
25,796,1,75,4124,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1
22,2764,1,80,4422,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
9,240,1,49,3742,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1
19,1753,1,60,3093,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1
19,2265,1,63,5023,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1
10,4374,1,52,4370,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1
17,1871,1,54,5148,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0
20,375,1,46,5933,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0
20,2326,1,84,5942,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
14,3764,1,72,3474,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
17,3887,1,87,5056,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0
5,1266,1,58,2631,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1
22,170,1,69,4158,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
25,968,1,66,2367,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0
16,3864,1,89,2333,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
25,3997,1,46,2749,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
16,1372,1,84,4930,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1
19,329,1,83,4391,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
23,2180,1,73,3201,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
22,584,1,72,4506,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
13,2139,1,89,2505,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1
19,2274,1,70,3766,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0
13,1975,1,66,4080,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
11,533,1,61,3590,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1
14,2036,1,42,5521,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1
23,1217,1,86,3033,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
14,2449,1,70,4534,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1
5,3244,1,40,3043,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0
8,4428,1,53,2862,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0
22,2403,1,76,3418,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
24,1539,1,90,4162,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
6,4850,1,52,5176,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0
6,2379,1,63,3257,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1
13,3191,1,46,4600,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0
13,4988,1,47,5447,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0
19,4770,1,73,4767,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0
16,959,1,50,5747,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1
19,3727,1,52,3882,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
7,3084,1,57,2319,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0
7,3802,1,84,2236,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0
6,4400,1,61,4708,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0
9,1599,1,83,3216,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0
23,189,1,51,3724,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0
15,4871,1,59,2368,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1
19,2562,1,53,4852,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0
5,2481,1,40,4915,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
16,3624,1,69,3081,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
5,3158,1,40,3789,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
10,4563,1,85,3383,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
22,4845,1,74,4777,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1
15,4538,1,73,3201,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0
14,741,1,61,4611,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0
17,3588,1,73,5687,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1
25,1087,1,80,5061,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1
8,2262,1,61,5116,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0
8,1349,1,56,3609,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
16,3009,1,73,2319,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
19,2527,1,87,2568,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
15,1480,1,89,3328,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
20,732,1,79,5438,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
15,4131,1,83,2913,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1
15,3914,1,77,3374,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1
13,1973,1,50,3717,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1
11,3030,1,69,5374,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1
24,3937,1,57,4988,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
16,1651,1,70,4378,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1
17,1333,1,56,2646,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1
15,1588,1,71,3794,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1
21,3581,1,45,2990,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
14,3967,1,42,4526,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
11,772,1,46,3613,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1
17,1996,1,75,3348,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,3846,1,49,3411,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
10,1709,1,58,2315,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
23,4553,1,61,4810,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0
7,742,1,46,5378,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
19,2405,1,46,2917,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
6,4106,1,53,2863,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1
25,1052,1,44,3908,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
23,4557,1,61,2772,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1
10,3356,1,85,3736,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
15,3468,1,74,3478,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1
24,2706,1,73,4905,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
15,3772,1,40,3494,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
22,2512,1,61,2711,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1
6,453,1,68,2508,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
14,2420,1,70,5872,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1
21,2728,1,41,3199,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1
20,928,1,53,4832,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
18,3761,1,90,2239,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0
20,1355,1,73,3064,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1
6,2395,1,87,4261,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0
5,322,1,47,2301,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
18,4178,1,68,4153,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1
12,2602,1,87,2622,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1
16,4209,1,55,3518,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1
22,2721,1,72,2449,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
13,1341,1,46,2757,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0
23,2368,1,46,4715,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0
14,3869,1,80,4146,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1
24,202,1,44,5074,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0
19,3792,1,55,3912,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0
7,712,1,73,5404,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1
24,3408,1,67,5979,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1
21,4783,1,84,5329,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1
18,3175,1,70,2567,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
8,1247,1,63,2561,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0
9,1352,1,48,5525,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1
14,4020,1,62,3415,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0
13,2469,1,81,3912,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0
7,1545,1,52,5676,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1
23,2812,1,70,5712,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1
22,4068,1,85,2268,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0
24,1450,1,70,4601,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1
22,4932,1,81,5264,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
20,910,1,88,4574,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1
8,4177,1,41,3534,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1
9,4629,1,42,4010,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1
13,3841,1,69,2300,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1
19,3558,1,81,3524,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0
10,2941,1,50,4398,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
15,3512,1,46,5258,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1
9,1505,1,77,5468,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1
22,1526,1,40,3655,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0
9,3730,1,49,3680,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1
5,4280,1,81,3891,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0
19,2990,1,45,4383,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1
14,2082,1,42,2565,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0
12,396,1,59,2592,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
11,998,1,77,3324,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0
6,3871,1,58,4619,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1
6,2459,1,89,3535,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
18,1954,1,65,3523,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1
8,1188,1,82,3943,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
5,2603,1,72,4271,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
17,3476,1,62,2938,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1
22,1566,1,53,2987,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0
13,3279,1,49,3308,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
5,1553,1,80,2770,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1
20,4998,1,55,3158,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
25,997,1,81,3659,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
24,2944,1,81,4569,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
8,3478,1,71,2301,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0
8,3217,1,53,2993,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0
21,1980,1,59,3863,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
5,3814,1,50,5292,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1
25,3298,1,58,3546,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
17,920,1,45,5947,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1
25,2846,1,59,2816,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1
16,474,1,65,3480,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1
8,2464,1,58,3024,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1
6,4204,1,65,4970,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0
8,633,1,82,4863,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
21,1673,1,78,5233,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1
18,1132,1,76,3375,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1
7,2305,1,77,4806,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0
13,1940,1,89,5848,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1
24,1691,1,86,3347,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1
11,399,1,89,5729,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1
24,1759,1,57,2725,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0
14,4450,1,75,5593,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0
7,474,1,76,2529,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0
15,4013,1,88,2951,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0
16,3205,1,77,3348,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0
5,503,1,86,4474,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1
11,943,1,66,5913,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1
16,1597,1,52,5637,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1
21,363,1,82,2561,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0
21,4215,1,76,4581,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1
23,4093,1,73,3086,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1
20,808,1,80,4973,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1
21,3197,1,70,4573,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1
10,2622,1,55,2700,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0
21,1837,1,58,5442,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1
20,934,1,50,5930,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
6,795,1,40,4591,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
19,1918,1,81,3359,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0
25,3227,1,50,4527,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
13,392,1,89,3428,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1
19,1675,1,85,4041,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1
24,1610,1,60,2911,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
25,1414,1,65,5023,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1
21,1404,1,48,4165,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1
15,2796,1,44,4251,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
9,2471,1,53,2328,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1
8,3297,1,81,4628,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1
19,1373,1,65,4244,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
14,1682,1,50,4145,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1
13,2929,1,59,3941,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0
11,2369,1,71,5220,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0
13,1438,1,67,4765,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
15,489,1,44,3777,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0
20,2520,1,63,4066,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1
16,4501,1,88,4080,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
13,454,1,66,4860,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
25,597,1,65,3892,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14,459,1,57,2698,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1
8,1030,1,74,3185,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1
19,2052,1,60,5143,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1
